"Var1","Var2","value"
"강동원","박종환",1
"김홍파","박종환",1
"박병은","박종환",1
"김원해","이하늬",1
"이동휘","이하늬",1
"류준열","이하늬",1
"전국환","이하늬",1
"오정세","이하늬",1
"조한철","이하늬",1
"심은경","이하늬",1
"송영창","이하늬",1
"배성우","이엘",1
"조우진","이엘",1
"김의성","이엘",1
"이병헌","이엘",1
"차승원","이엘",1
"이경영","이엘",1
"백윤식","이엘",1
"김대명","이엘",1
"김홍파","이엘",1
"이철민","이엘",1
"이재구","이엘",1
"김병옥","이엘",1
"조승우","이엘",1
"조재윤","이엘",1
"오정세","이엘",1
"남일우","이엘",1
"정만식","이엘",1
"박진우","이엘",1
"김희라","강리나",1
"민복기","강리나",1
"안진수","강리나",1
"최명호","강리나",1
"송금식","강리나",1
"이무정","강리나",1
"임하룡","김새론",1
"장영남","김새론",1
"이경영","하유미",1
"문정희","강성진",1
"설경구","강성진",1
"강신일","강성진",1
"최진영","강성진",1
"안성기","강성진",1
"유지태","강성진",1
"차승원","강성진",1
"김수로","강성진",1
"박상면","강성진",1
"이정헌","강성진",1
"이성재","강성진",1
"동방우","강성진",1
"이요원","강성진",1
"원웅재","강성진",1
"유해진","강성진",1
"이문식","강성진",1
"정규수","강성진",1
"박영규","강성진",1
"엄태웅","강성진",1
"문성근","강수연",1
"안성기","강수연",1
"이경영","강수연",1
"조주미","강수연",1
"이범수","고소영",1
"정우성","고소영",1
"조희봉","김원해",1
"황정민-1","김원해",1
"엄지성","김원해",1
"이하늬","김원해",1
"김인권","김원해",1
"하지원","김원해",1
"이경영","김원해",1
"주진모-1","김원해",1
"김응수","김원해",1
"박철민","김원해",1
"이주실","김원해",1
"김병옥","김원해",1
"정성화","김원해",1
"이준혁","김원해",1
"유해진","김원해",1
"오정세","김원해",1
"이성민","김원해",1
"곽도원","김원해",1
"정우","김원해",1
"성병숙","김원해",1
"정규수","김원해",1
"심은경","김원해",1
"류승룡","김원해",1
"김종수","김원해",1
"이해영","김원해",1
"전배수","김원해",1
"김명곤","김갑수",1
"이호재","김갑수",1
"안석환","김갑수",1
"정우성","김갑수",1
"이윤건","김갑수",1
"정경순","김갑수",1
"윤주상","김갑수",1
"최귀화","안지혜",1
"류승범","안지혜",1
"김영민","안지혜",1
"양은용","안지혜",1
"김해숙","김래원",1
"강신일","김래원",1
"정웅인","김래원",1
"지대한","김래원",1
"김병옥","김래원",1
"김정태","김래원",1
"전배수","김래원",1
"박광정","김민종",1
"이경영","김민종",1
"신철진","김민종",1
"조주미","김민종",1
"독고영재","김민종",1
"권용운","김민종",1
"예지원","김상중",1
"정준호","김상중",1
"정운택","김상중",1
"정웅인","김상중",1
"이한위","김상중",1
"신현준","김수미",1
"임창정","김수미",1
"공형진","김수미",1
"오달수","김수미",1
"김해곤","김수미",1
"임형준","김수미",1
"정만식","김수미",1
"신이","김수미",1
"문성근","김승우",1
"박중훈","김승우",1
"차승원","김승우",1
"양택조","김승우",1
"동방우","김승우",1
"문정희","김영애",1
"손종학","김영애",1
"성동일","김영애",1
"이경영","김영애",1
"조선묵","김영애",1
"주진모-1","김영애",1
"김성균","김영애",1
"김인문","김영애",1
"박수영","김영애",1
"김종구","김영애",1
"조진웅","김영애",1
"장광","김영애",1
"송영창","김영애",1
"공형진","김용건",1
"문미봉","김용건",1
"윤지혜","김유석",1
"조덕현","김윤진",1
"장영남","김윤진",1
"윤주상","김윤진",1
"최귀화","김의성",1
"정원중","김의성",1
"배성우","김의성",1
"조우진","김의성",1
"이엘","김의성",1
"문성근","김의성",1
"신하균","김의성",1
"이병헌","김의성",1
"이정재","김의성",1
"강동원","김의성",1
"이경영","김의성",1
"정우성","김의성",1
"윤동환","김의성",1
"백윤식","김의성",1
"박정민","김의성",1
"박원상","김의성",1
"김대명","김의성",1
"유준상","김의성",1
"권해효","김의성",1
"조정석","김의성",1
"김성균","김의성",1
"조복래","김의성",1
"이윤건","김의성",1
"류태호","김의성",1
"윤계상","김의성",1
"김홍파","김의성",1
"김민재","김의성",1
"박희순","김의성",1
"백현진","김의성",1
"김병옥","김의성",1
"조승우","김의성",1
"조재윤","김의성",1
"유해진","김의성",1
"박성웅","김의성",1
"김윤석","김의성",1
"한철우","김의성",1
"오대환","김의성",1
"박병은","김의성",1
"정규수","김의성",1
"하정우","김의성",1
"남일우","김의성",1
"고아성","김의성",1
"정만식","김의성",1
"김종수","김의성",1
"기주봉","김의성",1
"박진우","김의성",1
"공유","김의성",1
"한수연","김의성",1
"정석용","김의성",1
"설경구","김인권",1
"김원해","김인권",1
"송재호","김인권",1
"안성기","김인권",1
"이범수","김인권",1
"장동건","김인권",1
"차승원","김인권",1
"하지원","김인권",1
"권현상","김인권",1
"이경영","김인권",1
"공형진","김인권",1
"박철민","김인권",1
"지대한","김인권",1
"유승목","김인권",1
"이주실","김인권",1
"전국환","김인권",1
"이종혁","김인권",1
"최재환","김인권",1
"권상우","김인권",1
"성지루","김인권",1
"박효주","김인권",1
"정인기","김인권",1
"오정세","김인권",1
"정우","김인권",1
"이도경","김인권",1
"성병숙","김인권",1
"윤제문","김인권",1
"정규수","김인권",1
"이민기","김인권",1
"강예원","김인권",1
"류승룡","김인권",1
"전배수","김인권",1
"서영화","김태우",1
"이병헌","김태우",1
"전도연","김태우",1
"이경영","김태우",1
"유준상","김태우",1
"예수정","김태우",1
"이대연","김태우",1
"이천희","김하늘",1
"권상우","김하늘",1
"장영남","김하늘",1
"김해숙","김혜수",1
"한석규","김혜수",1
"송강호","김혜수",1
"안성기","김혜수",1
"이정재","김혜수",1
"전지현","김혜수",1
"천호진","김혜수",1
"백윤식","김혜수",1
"주진모-1","김혜수",1
"최종원","김혜수",1
"오달수","김혜수",1
"조주미","김혜수",1
"조상건","김혜수",1
"유해진","김혜수",1
"김윤석","김혜수",1
"조형기","김혜수",1
"송영창","김혜수",1
"최덕문","김혜수",1
"유순철","문성근",1
"공호석","문성근",1
"설경구","문성근",1
"강신일","문성근",1
"서영화","문성근",1
"강수연","문성근",1
"김승우","문성근",1
"김의성","문성근",1
"심혜진","문성근",1
"안성기","문성근",1
"안석환","문성근",1
"박광정","문성근",1
"양택조","문성근",1
"이경영","문성근",1
"박원상","문성근",1
"오지혜","문성근",1
"동방우","문성근",1
"이두일","문성근",1
"박지아","문성근",1
"권해효","문성근",1
"손영순","문성근",1
"김일우","문성근",1
"권태원","문성근",1
"이인옥","문성근",1
"김경란","문성근",1
"조학자","문성근",1
"박길수","문성근",1
"박부양","문성근",1
"정재영","문성근",1
"나갑성","문성근",1
"민경진","문성근",1
"허준호","문성근",1
"독고영재","문성근",1
"송선미","문성근",1
"김준배","문성근",1
"박명신","문성근",1
"이기영","문성근",1
"최덕문","문성근",1
"박용팔","문성근",1
"정유미","문성근",1
"홍석연","문성근",1
"문미봉","문성근",1
"전지현","박신양",1
"최진실","박신양",1
"박원상","박신양",1
"이문식","박신양",1
"류승수","박신양",1
"성동일","박용우",1
"김구택","박용우",1
"김응수","박용우",1
"유해진","박용우",1
"오정세","박용우",1
"엄정화","박용우",1
"정규수","박용우",1
"박충선","박용우",1
"성동일","박인환",1
"양택조","박인환",1
"이경영","박인환",1
"최주봉","박인환",1
"김병춘","박중훈",1
"김승우","박중훈",1
